tol = 1.49012e-08
index = 2000376, m = 2000376
alpha =  29.6073	beta =   193518
   0	6.842e+04	       0
   1	4.456e+04	   4.853
   2	3.543e+04	   7.785
   3	3.018e+04	   11.67
   4	2.777e+04	   16.88
   5	2.618e+04	   23.22
   6	2.442e+04	   29.96
   7	2.247e+04	   36.39
   8	2.031e+04	   42.22
   9	1.82e+04	   47.34
  10	1.631e+04	   51.78
  11	1.459e+04	   55.65
  12	1.309e+04	   59.01
  13	1.178e+04	   61.94
  14	1.06e+04	   64.49
  15	    9553	   66.73
  16	    8614	   68.67
  17	    7754	   70.36
  18	    6974	   71.82
  19	    6145	   72.98
  20	    5195	    73.6
  21	    4362	   73.95
  22	    3745	   74.23
  23	    3342	   74.47
  24	    3075	   74.68
  25	    2835	   74.87
  26	    2575	   75.02
  27	    2296	   75.13
  28	    2025	   75.22
  29	    1780	   75.28
  30	    1572	   75.32
  31	    1398	   75.35
  32	    1254	   75.36
  33	    1137	   75.38
  34	    1040	   75.38
  35	   961.8	   75.39
  36	   896.9	   75.39
  37	   844.7	   75.39
  38	   807.9	   75.39
  39	   742.7	   75.39
  40	   679.2	   75.38
  41	   612.1	   75.37
  42	   542.6	   75.37
  43	   468.1	   75.36
  44	   397.6	   75.35
  45	   347.6	   75.34
  46	   285.3	   75.34
  47	   250.1	   75.33
  48	   208.2	   75.33
  49	   181.7	   75.32
  50	   159.6	   75.32
  51	   137.1	   75.32
  52	   120.9	   75.32
  53	   110.3	   75.32
  54	   99.25	   75.32
  55	   86.65	   75.32
  56	   70.13	   75.32
  57	   59.14	   75.32
  58	   51.31	   75.32
  59	   46.26	   75.32
  60	   41.86	   75.31
  61	   37.97	   75.31
  62	   34.74	   75.31
  63	   31.11	   75.31
  64	   28.17	   75.31
  65	    25.3	   75.31
  66	   22.63	   75.31
  67	   19.98	   75.31
  68	   17.78	   75.31
  69	    15.8	   75.31
  70	   14.01	   75.31
  71	   12.55	   75.31
  72	   11.26	   75.31
  73	   9.938	   75.31
  74	   8.888	   75.31
  75	   8.124	   75.31
  76	    7.04	   75.31
  77	   6.362	   75.31
  78	    5.47	   75.31
  79	   4.881	   75.31
  80	   4.263	   75.31
  81	   3.548	   75.31
  82	   2.944	   75.31
  83	   2.567	   75.31
  84	   2.173	   75.31
  85	   1.954	   75.31
  86	   1.678	   75.31
  87	   1.543	   75.31
  88	   1.331	   75.31
  89	   1.196	   75.31
  90	   1.064	   75.31
  91	  0.9458	   75.31
  92	  0.8467	   75.31
  93	   0.725	   75.31
  94	  0.6255	   75.31
  95	  0.5631	   75.31
  96	  0.4877	   75.31
  97	  0.4262	   75.31
  98	  0.3706	   75.31
  99	  0.3039	   75.31
 100	  0.2546	   75.31
 101	  0.2167	   75.31
 102	  0.1728	   75.31
 103	  0.1395	   75.31
 104	  0.1092	   75.31
 105	 0.09011	   75.31
 106	 0.07268	   75.31
 107	 0.05919	   75.31
 108	 0.04747	   75.31
 109	 0.03697	   75.31
 110	 0.03124	   75.31
 111	 0.02695	   75.31
 112	 0.02349	   75.31
 113	 0.02054	   75.31
 114	 0.01711	   75.31
 115	 0.01364	   75.31
 116	 0.01134	   75.31
 117	0.009542	   75.31
 118	0.008291	   75.31
 119	0.007148	   75.31
 120	0.006043	   75.31
 121	0.005271	   75.31
 122	0.004467	   75.31
 123	0.003642	   75.31
 124	0.003092	   75.31
 125	0.002674	   75.31
 126	  0.0023	   75.31
 127	0.002082	   75.31
 128	0.001903	   75.31
 129	0.001719	   75.31
 130	0.001556	   75.31
 131	0.001343	   75.31
 132	 0.00115	   75.31
 133	0.0009796	   75.31
 134	0.0008468	   75.31
 135	0.0007435	   75.31
 136	0.0006755	   75.31
 137	0.0006004	   75.31
 138	0.0005442	   75.31
 139	0.0004942	   75.31
 140	0.0004475	   75.31
 141	0.0004161	   75.31
 142	0.0003788	   75.31
 143	0.0003333	   75.31
 144	0.0002906	   75.31
 145	0.0002534	   75.31
 146	0.0002109	   75.31
 147	0.0001825	   75.31
 148	0.0001574	   75.31
 149	0.0001326	   75.31
 150	0.0001123	   75.31
 151	9.722e-05	   75.31
 152	8.829e-05	   75.31
 153	8.058e-05	   75.31
 154	7.273e-05	   75.31
 155	6.727e-05	   75.31
 156	6.235e-05	   75.31
 157	5.678e-05	   75.31
 158	5.123e-05	   75.31
 159	4.555e-05	   75.31
 160	4.039e-05	   75.31
 161	3.434e-05	   75.31
 162	2.977e-05	   75.31
 163	2.536e-05	   75.31
 164	2.212e-05	   75.31
 165	1.872e-05	   75.31
 166	1.556e-05	   75.31
 167	1.29e-05	   75.31
 168	1.081e-05	   75.31
 169	9.042e-06	   75.31
 170	7.134e-06	   75.31
 171	5.601e-06	   75.31
 172	4.615e-06	   75.31
 173	3.856e-06	   75.31
 174	3.362e-06	   75.31
 175	3.06e-06	   75.31
 176	2.864e-06	   75.31
 177	2.712e-06	   75.31
 178	2.574e-06	   75.31
 179	2.43e-06	   75.31
 180	2.249e-06	   75.31
 181	2.051e-06	   75.31
 182	1.896e-06	   75.31
 183	1.719e-06	   75.31
 184	1.458e-06	   75.31
 185	1.222e-06	   75.31
 186	1.029e-06	   75.31
 187	8.794e-07	   75.31
 188	7.394e-07	   75.31
 189	6.057e-07	   75.31
 190	5.035e-07	   75.31
 191	4.274e-07	   75.31
 192	3.559e-07	   75.31
 193	2.917e-07	   75.31
 194	2.517e-07	   75.31
