tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   0	5.529e+05	       0
   1	2.465e+05	   4.697
   2	1.594e+05	   7.083
   3	1.186e+05	   8.917
   4	9.527e+04	   10.49
   5	8.048e+04	   11.92
   6	7.052e+04	   13.26
   7	6.361e+04	   14.57
   8	5.881e+04	   15.88
   9	5.579e+04	   17.21
  10	5.485e+04	   18.57
  11	5.614e+04	   19.95
  12	5.624e+04	   21.34
  13	5.275e+04	   22.84
  14	4.993e+04	   24.53
  15	4.914e+04	   26.39
  16	4.993e+04	   28.37
  17	5.185e+04	   30.44
  18	5.256e+04	   32.58
  19	5.097e+04	   34.89
  20	4.965e+04	   37.42
  21	4.974e+04	   40.12
  22	5.101e+04	   42.92
  23	5.211e+04	   45.75
  24	5.126e+04	   48.67
  25	4.97e+04	   51.76
  26	4.911e+04	   54.98
  27	4.964e+04	   58.24
  28	5.029e+04	   61.47
  29	4.951e+04	   64.69
  30	4.785e+04	      68
  31	4.687e+04	   71.37
  32	4.687e+04	   74.71
  33	4.708e+04	   77.97
  34	4.62e+04	   81.16
  35	4.458e+04	   84.37
  36	4.349e+04	   87.59
  37	4.324e+04	   90.74
  38	4.316e+04	   93.79
  39	4.224e+04	   96.75
  40	4.076e+04	   99.69
  41	3.974e+04	   102.6
  42	3.942e+04	   105.5
  43	3.921e+04	   108.2
  44	3.829e+04	   110.9
  45	 3.7e+04	   113.5
  46	3.613e+04	   116.1
  47	3.584e+04	   118.6
  48	3.555e+04	     121
  49	3.467e+04	   123.4
  50	3.357e+04	   125.7
  51	3.287e+04	     128
  52	3.261e+04	   130.2
  53	3.228e+04	   132.4
  54	3.146e+04	   134.5
  55	3.053e+04	   136.5
  56	2.998e+04	   138.6
  57	2.977e+04	   140.5
  58	2.94e+04	   142.4
  59	2.863e+04	   144.3
  60	2.786e+04	   146.1
  61	2.744e+04	   147.9
  62	2.724e+04	   149.7
  63	2.684e+04	   151.4
  64	2.613e+04	     153
  65	2.55e+04	   154.7
  66	2.518e+04	   156.3
  67	2.498e+04	   157.8
  68	2.456e+04	   159.3
  69	2.392e+04	   160.8
  70	2.34e+04	   162.3
  71	2.316e+04	   163.7
  72	2.295e+04	   165.1
  73	2.251e+04	   166.4
  74	2.194e+04	   167.8
  75	2.153e+04	   169.1
  76	2.133e+04	   170.3
  77	2.111e+04	   171.6
  78	2.066e+04	   172.8
  79	2.016e+04	     174
  80	1.984e+04	   175.2
  81	1.967e+04	   176.3
  82	1.942e+04	   177.4
  83	1.898e+04	   178.5
  84	1.856e+04	   179.6
  85	1.831e+04	   180.6
  86	1.815e+04	   181.6
  87	1.787e+04	   182.6
  88	1.746e+04	   183.6
  89	1.711e+04	   184.6
  90	1.691e+04	   185.5
  91	1.674e+04	   186.4
  92	1.645e+04	   187.3
  93	1.607e+04	   188.2
  94	1.578e+04	   189.1
  95	1.561e+04	   189.9
  96	1.543e+04	   190.7
  97	1.512e+04	   191.5
  98	1.478e+04	   192.3
  99	1.455e+04	   193.1
 100	1.44e+04	   193.8
 101	1.42e+04	   194.5
 102	1.389e+04	   195.2
 103	1.36e+04	   195.9
 104	1.34e+04	   196.6
 105	1.326e+04	   197.3
 106	1.304e+04	   197.9
 107	1.274e+04	   198.6
 108	1.248e+04	   199.2
 109	1.23e+04	   199.8
 110	1.207e+04	   200.3
 111	1.166e+04	   200.9
 112	1.103e+04	   201.4
 113	1.026e+04	   201.9
 114	    9470	   202.3
 115	    8726	   202.6
 116	    8023	   202.9
 117	    7370	   203.1
 118	    6828	   203.3
 119	    6409	   203.5
 120	    6028	   203.7
 121	    5665	   203.8
 122	    5382	     204
 123	    5176	   204.1
 124	    5025	   204.2
 125	    4887	   204.3
 126	    4756	   204.4
 127	    4677	   204.5
 128	    4644	   204.6
 129	    4632	   204.7
 130	    4604	   204.8
 131	    4580	   204.9
 132	    4587	   204.9
 133	    4619	     205
 134	    4640	   205.1
 135	    4632	   205.2
 136	    4623	   205.3
 137	    4633	   205.4
 138	    4647	   205.5
 139	    4630	   205.6
 140	    4582	   205.7
 141	    4536	   205.8
 142	    4502	   205.9
 143	    4460	     206
 144	    4381	   206.1
 145	    4284	   206.2
 146	    4195	   206.3
 147	    4119	   206.4
 148	    4027	   206.5
 149	    3910	   206.5
 150	    3789	   206.6
 151	    3683	   206.7
 152	    3588	   206.8
 153	    3478	   206.8
 154	    3355	   206.9
 155	    3239	   206.9
 156	    3140	     207
 157	    3047	     207
 158	    2941	   207.1
 159	    2831	   207.1
 160	    2734	   207.2
 161	    2651	   207.2
 162	    2568	   207.3
 163	    2475	   207.3
 164	    2384	   207.3
 165	    2306	   207.4
 166	    2238	   207.4
 167	    2165	   207.4
 168	    2086	   207.4
 169	    2011	   207.5
 170	    1949	   207.5
 171	    1890	   207.5
 172	    1825	   207.5
 173	    1758	   207.5
 174	    1697	   207.6
