tol = 1.49012e-08
index = 2000376, m = 2000376
alpha =  29.6073	beta =   193518
   0	6.842e+04	       0
   1	2.368e+04	   2.801
   2	1.505e+04	   4.439
   3	1.212e+04	   5.859
   4	1.112e+04	   7.447
   5	1.09e+04	   9.357
   6	1.093e+04	   11.71
   7	1.096e+04	   14.53
   8	1.087e+04	   17.77
   9	1.065e+04	   21.28
  10	1.032e+04	   24.91
  11	    9908	   28.52
  12	    9431	   32.02
  13	    8920	   35.34
  14	    8409	   38.46
  15	    7926	   41.37
  16	    7481	   44.07
  17	    7070	   46.58
  18	    6684	   48.91
  19	    6321	   51.08
  20	    5983	    53.1
  21	    5672	   54.98
  22	    5385	   56.73
  23	    5117	   58.37
  24	    4863	   59.91
  25	    4621	   61.34
  26	    4394	   62.68
  27	    4182	   63.94
  28	    3983	   65.12
  29	    3793	   66.22
  30	    3611	   67.25
  31	    3437	   68.21
  32	    3272	   69.12
  33	    3114	   69.96
  34	    2963	   70.74
  35	    2817	   71.48
  36	    2668	   72.15
  37	    2467	   72.77
  38	    2079	   73.27
  39	    1589	    73.6
  40	    1289	    73.8
  41	    1108	   73.94
  42	    1025	   74.05
  43	   991.2	   74.16
  44	   993.5	   74.26
  45	    1006	   74.37
  46	    1007	   74.47
  47	     989	   74.59
  48	   949.6	   74.69
  49	   891.8	   74.79
  50	   822.4	   74.88
  51	   749.1	   74.96
  52	   677.5	   75.02
  53	   611.2	   75.07
  54	   551.4	   75.11
  55	     498	   75.15
  56	   450.4	   75.18
  57	   407.5	   75.21
  58	   368.4	   75.23
  59	   332.3	   75.24
  60	   298.8	   75.26
  61	   267.7	   75.27
  62	   238.6	   75.28
  63	   211.6	   75.29
  64	   186.8	   75.29
  65	   164.1	    75.3
  66	   143.8	    75.3
  67	   125.8	    75.3
  68	   110.3	    75.3
  69	   97.25	   75.31
  70	    86.6	   75.31
  71	   78.17	   75.31
  72	   71.16	   75.31
  73	   62.27	   75.31
  74	   44.88	   75.31
  75	   23.46	   75.31
  76	   15.04	   75.31
  77	   27.47	   75.31
  78	   35.14	   75.31
  79	   10.68	   75.31
  80	   15.65	   75.31
  81	   11.27	   75.31
  82	   10.19	   75.31
  83	    7.54	   75.31
  84	   8.289	   75.31
  85	   4.764	   75.31
  86	   5.814	   75.31
  87	       4	   75.31
  88	   2.941	   75.31
  89	   3.228	   75.31
  90	   2.557	   75.31
  91	   1.834	   75.31
  92	   1.704	   75.31
  93	   1.824	   75.31
  94	   1.471	   75.31
  95	   1.192	   75.31
  96	   1.129	   75.31
  97	     1.2	   75.31
  98	    1.22	   75.31
  99	   1.038	   75.31
 100	  0.9176	   75.31
 101	  0.8935	   75.31
 102	  0.8856	   75.31
 103	  0.7947	   75.31
 104	  0.6646	   75.31
 105	  0.5735	   75.31
 106	  0.5173	   75.31
 107	  0.4596	   75.31
 108	  0.3775	   75.31
 109	    0.29	   75.31
 110	  0.2335	   75.31
 111	  0.2131	   75.31
 112	  0.2153	   75.31
 113	   0.197	   75.31
 114	   0.138	   75.31
 115	 0.09335	   75.31
 116	 0.08865	   75.31
 117	 0.08444	   75.31
 118	 0.06329	   75.31
 119	 0.05677	   75.31
 120	 0.04401	   75.31
 121	  0.0386	   75.31
 122	 0.03387	   75.31
 123	 0.03109	   75.31
 124	 0.02685	   75.31
 125	 0.02341	   75.31
 126	 0.02017	   75.31
 127	 0.01833	   75.31
 128	 0.01642	   75.31
 129	 0.01484	   75.31
 130	 0.01351	   75.31
 131	 0.01249	   75.31
 132	 0.01197	   75.31
 133	 0.01159	   75.31
 134	 0.01128	   75.31
 135	 0.01104	   75.31
 136	 0.01087	   75.31
