tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   0	5.529e+05	       0
   1	3.142e+05	   21.36
   2	2.372e+05	   37.56
   3	1.936e+05	   60.86
   4	1.615e+05	   88.24
   5	1.339e+05	   114.7
   6	1.098e+05	   137.4
   7	8.913e+04	   155.9
   8	7.215e+04	   170.4
   9	5.854e+04	   181.8
  10	4.776e+04	   190.6
  11	3.831e+04	   197.1
  12	2.914e+04	   200.6
  13	2.227e+04	   202.7
  14	1.74e+04	   204.3
  15	1.377e+04	   205.4
  16	1.084e+04	   206.2
  17	    8388	   206.8
  18	    6396	   207.1
  19	    4847	   207.4
  20	    3702	   207.5
  21	    2886	   207.6
  22	    2320	   207.7
  23	    1810	   207.7
  24	    1427	   207.7
  25	    1092	   207.7
  26	   857.9	   207.8
  27	   655.6	   207.8
  28	   532.7	   207.8
  29	   423.2	   207.8
  30	   339.6	   207.8
  31	   278.6	   207.8
  32	   214.5	   207.8
  33	     169	   207.8
  34	   132.3	   207.8
  35	   104.9	   207.8
  36	   83.62	   207.8
  37	   66.73	   207.8
  38	   52.86	   207.8
  39	   41.43	   207.8
  40	   31.81	   207.8
  41	   23.94	   207.8
  42	   18.15	   207.8
  43	   14.24	   207.8
  44	   10.97	   207.8
  45	   8.888	   207.8
  46	    7.32	   207.8
  47	   5.747	   207.8
  48	   4.369	   207.8
  49	   3.525	   207.8
  50	   2.691	   207.8
  51	    2.11	   207.8
  52	   1.663	   207.8
  53	   1.276	   207.8
  54	  0.9806	   207.8
  55	  0.7579	   207.8
  56	  0.5946	   207.8
  57	  0.4572	   207.8
  58	  0.3509	   207.8
  59	  0.2683	   207.8
  60	  0.2136	   207.8
  61	  0.1717	   207.8
  62	  0.1312	   207.8
  63	 0.09792	   207.8
  64	 0.07668	   207.8
  65	 0.05844	   207.8
  66	 0.04551	   207.8
  67	 0.03566	   207.8
  68	 0.02775	   207.8
  69	 0.02174	   207.8
  70	 0.01774	   207.8
  71	 0.01457	   207.8
  72	 0.01178	   207.8
  73	0.009048	   207.8
  74	 0.00711	   207.8
  75	0.005495	   207.8
  76	 0.00422	   207.8
  77	0.003134	   207.8
  78	0.002518	   207.8
  79	0.001921	   207.8
  80	0.001504	   207.8
  81	0.001213	   207.8
  82	0.0009653	   207.8
  83	0.0007806	   207.8
  84	0.0006228	   207.8
  85	0.0004787	   207.8
  86	0.0003491	   207.8
  87	0.000273	   207.8
  88	0.0002103	   207.8
  89	0.0001602	   207.8
  90	0.0001308	   207.8
  91	0.0001039	   207.8
  92	8.15e-05	   207.8
  93	 6.1e-05	   207.8
  94	4.934e-05	   207.8
  95	3.932e-05	   207.8
  96	3.066e-05	   207.8
  97	2.366e-05	   207.8
  98	1.847e-05	   207.8
  99	1.448e-05	   207.8
 100	1.052e-05	   207.8
 101	8.279e-06	   207.8
 102	6.149e-06	   207.8
 103	4.994e-06	   207.8
 104	3.92e-06	   207.8
 105	3.086e-06	   207.8
 106	2.336e-06	   207.8
 107	1.828e-06	   207.8
 108	1.346e-06	   207.8
 109	1.032e-06	   207.8
 110	7.643e-07	   207.8
 111	5.971e-07	   207.8
 112	4.639e-07	   207.8
 113	3.699e-07	   207.8
 114	2.734e-07	   207.8
 115	2.066e-07	   207.8
 116	1.637e-07	   207.8
 117	1.202e-07	   207.8
 118	9.223e-08	   207.8
 119	6.898e-08	   207.8
 120	5.534e-08	   207.8
 121	4.571e-08	   207.8
 122	3.663e-08	   207.8
 123	2.771e-08	   207.8
 124	2.292e-08	   207.8
 125	1.765e-08	   207.8
 126	1.432e-08	   207.8
||x||_2 = 207.8
==================== TIMER SUMMARY =========================================
label               	calls     	total time	mean time	comp. intensity	 mean Gflop/s	mean Gbyte/s
----------------------------------------------
apply_preconditioning	       126	     50.19	    0.3984	      -nan	         0	         0
     apply_stencil3d	       127	       1.2	  0.009447	    0.8096	        23	     28.42
               axpby	       379	     1.024	  0.002702	     0.125	     18.62	       149
           cg_solver	         1	     55.88	     55.88	      -nan	         0	         0
                 dot	       379	    0.4046	  0.001068	     0.125	     31.43	     251.4
                init	         4	  0.009699	  0.002425	         0	         0	     55.35
      main_cg_solver	         1	      55.9	      55.9	      -nan	         0	         0
============================================================================
