tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
 270	0.007287	   207.8
 271	0.006415	   207.8
 272	0.005761	   207.8
 273	0.005246	   207.8
 274	0.004789	   207.8
 275	 0.00434	   207.8
 276	0.003897	   207.8
 277	0.003536	   207.8
 278	0.003263	   207.8
 279	0.003093	   207.8
 280	0.002959	   207.8
 281	0.002841	   207.8
 282	0.002727	   207.8
 283	0.002607	   207.8
 284	0.002515	   207.8
 285	0.002446	   207.8
 286	0.002374	   207.8
 287	0.002265	   207.8
 288	0.002146	   207.8
 289	 0.00201	   207.8
 290	 0.00188	   207.8
 291	0.001772	   207.8
 292	0.001636	   207.8
 293	0.001449	   207.8
 294	0.001281	   207.8
 295	0.001172	   207.8
 296	0.001114	   207.8
 297	0.001053	   207.8
 298	0.0009799	   207.8
 299	0.0009121	   207.8
 300	0.0008464	   207.8
 301	0.0007934	   207.8
 302	0.0007548	   207.8
 303	0.0007089	   207.8
 304	0.0006666	   207.8
 305	0.0006359	   207.8
 306	0.0006035	   207.8
 307	0.0005706	   207.8
 308	0.0005333	   207.8
 309	0.0004982	   207.8
 310	0.0004697	   207.8
 311	0.0004422	   207.8
 312	0.000415	   207.8
 313	0.0003886	   207.8
 314	0.0003612	   207.8
 315	0.0003334	   207.8
 316	0.0003071	   207.8
 317	0.0002811	   207.8
 318	0.0002556	   207.8
 319	0.0002238	   207.8
 320	0.0001972	   207.8
 321	0.0001773	   207.8
 322	0.0001641	   207.8
 323	0.0001483	   207.8
 324	0.0001296	   207.8
 325	0.0001133	   207.8
 326	0.0001027	   207.8
 327	9.487e-05	   207.8
 328	8.594e-05	   207.8
 329	7.672e-05	   207.8
 330	6.839e-05	   207.8
 331	6.097e-05	   207.8
 332	5.412e-05	   207.8
 333	4.846e-05	   207.8
 334	4.492e-05	   207.8
 335	4.248e-05	   207.8
 336	4.017e-05	   207.8
 337	3.83e-05	   207.8
 338	3.637e-05	   207.8
 339	3.436e-05	   207.8
 340	3.248e-05	   207.8
 341	3.089e-05	   207.8
 342	2.96e-05	   207.8
 343	2.859e-05	   207.8
 344	2.777e-05	   207.8
 345	2.706e-05	   207.8
 346	2.604e-05	   207.8
 347	2.494e-05	   207.8
 348	2.421e-05	   207.8
 349	2.376e-05	   207.8
 350	2.32e-05	   207.8
 351	2.248e-05	   207.8
 352	2.169e-05	   207.8
 353	2.084e-05	   207.8
 354	1.991e-05	   207.8
 355	1.886e-05	   207.8
 356	1.767e-05	   207.8
 357	1.659e-05	   207.8
 358	1.537e-05	   207.8
 359	1.396e-05	   207.8
 360	1.254e-05	   207.8
 361	1.142e-05	   207.8
 362	1.051e-05	   207.8
 363	9.637e-06	   207.8
 364	8.598e-06	   207.8
 365	7.531e-06	   207.8
 366	6.543e-06	   207.8
 367	5.795e-06	   207.8
 368	5.234e-06	   207.8
 369	4.59e-06	   207.8
 370	4.127e-06	   207.8
 371	3.889e-06	   207.8
 372	3.702e-06	   207.8
 373	3.483e-06	   207.8
 374	3.296e-06	   207.8
 375	3.103e-06	   207.8
 376	2.89e-06	   207.8
 377	2.694e-06	   207.8
 378	2.532e-06	   207.8
 379	2.43e-06	   207.8
 380	2.322e-06	   207.8
 381	2.233e-06	   207.8
 382	2.162e-06	   207.8
 383	2.083e-06	   207.8
 384	1.96e-06	   207.8
 385	1.839e-06	   207.8
 386	1.752e-06	   207.8
 387	1.636e-06	   207.8
 388	1.459e-06	   207.8
 389	1.315e-06	   207.8
 390	1.22e-06	   207.8
 391	1.129e-06	   207.8
 392	1.02e-06	   207.8
 393	9.368e-07	   207.8
 394	8.759e-07	   207.8
 395	 8.1e-07	   207.8
 396	7.542e-07	   207.8
 397	7.072e-07	   207.8
 398	6.572e-07	   207.8
 399	6.173e-07	   207.8
 400	5.785e-07	   207.8
 401	5.424e-07	   207.8
 402	5.125e-07	   207.8
 403	4.943e-07	   207.8
 404	4.769e-07	   207.8
 405	4.581e-07	   207.8
 406	4.401e-07	   207.8
 407	 4.2e-07	   207.8
 408	3.955e-07	   207.8
 409	3.72e-07	   207.8
 410	3.504e-07	   207.8
 411	3.251e-07	   207.8
 412	3.013e-07	   207.8
 413	2.802e-07	   207.8
 414	2.627e-07	   207.8
 415	2.472e-07	   207.8
 416	2.36e-07	   207.8
 417	2.262e-07	   207.8
 418	2.179e-07	   207.8
 419	2.104e-07	   207.8
 420	1.991e-07	   207.8
 421	1.843e-07	   207.8
 422	1.728e-07	   207.8
 423	1.654e-07	   207.8
 424	1.581e-07	   207.8
 425	1.513e-07	   207.8
 426	1.467e-07	   207.8
 427	1.418e-07	   207.8
 428	1.351e-07	   207.8
 429	1.277e-07	   207.8
 430	1.207e-07	   207.8
 431	1.129e-07	   207.8
 432	1.029e-07	   207.8
 433	9.273e-08	   207.8
 434	8.211e-08	   207.8
 435	7.142e-08	   207.8
 436	6.283e-08	   207.8
 437	5.699e-08	   207.8
 438	5.192e-08	   207.8
 439	4.677e-08	   207.8
 440	4.296e-08	   207.8
 441	4.002e-08	   207.8
 442	3.81e-08	   207.8
 443	3.69e-08	   207.8
 444	3.601e-08	   207.8
 445	3.509e-08	   207.8
 446	3.419e-08	   207.8
 447	3.316e-08	   207.8
 448	3.18e-08	   207.8
 449	2.976e-08	   207.8
 450	2.732e-08	   207.8
 451	2.465e-08	   207.8
 452	2.174e-08	   207.8
 453	1.898e-08	   207.8
 454	1.685e-08	   207.8
 455	1.544e-08	   207.8
 456	1.427e-08	   207.8
||x||_2 = 207.8
==================== TIMER SUMMARY =========================================
label               	calls     	total time	mean time	comp. intensity	 mean Gflop/s	mean Gbyte/s
----------------------------------------------
apply_preconditioning	       456	     44.61	   0.09782	      -nan	         0	         0
     apply_stencil3d	       457	     4.341	    0.0095	    0.8096	     22.88	     28.26
               axpby	      1369	     3.791	  0.002769	     0.125	     18.18	     145.4
           cg_solver	         1	     63.74	     63.74	      -nan	         0	         0
                 dot	      1369	     1.496	  0.001093	     0.125	      30.7	     245.6
                init	         4	  0.009535	  0.002384	         0	         0	      56.3
      main_cg_solver	         1	     63.76	     63.76	      -nan	         0	         0
============================================================================
