tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   0	5.529e+05	       0
   1	3.289e+05	   13.72
   2	2.571e+05	    20.3
   3	2.158e+05	   27.97
   4	1.898e+05	   37.91
   5	1.726e+05	   50.44
   6	1.592e+05	   65.05
   7	1.471e+05	   80.64
   8	1.354e+05	   96.12
   9	1.236e+05	   110.8
  10	1.12e+05	   124.1
  11	1.011e+05	   136.1
  12	9.099e+04	   146.7
  13	8.182e+04	   156.1
  14	7.364e+04	   164.3
  15	6.634e+04	   171.6
  16	5.98e+04	     178
  17	5.398e+04	   183.6
  18	4.878e+04	   188.6
  19	4.409e+04	   192.9
  20	3.984e+04	   196.7
  21	3.524e+04	   199.6
  22	3.024e+04	   201.5
  23	2.577e+04	   202.7
  24	2.213e+04	   203.7
  25	1.928e+04	   204.4
  26	1.707e+04	   205.1
  27	1.53e+04	   205.7
  28	1.375e+04	   206.1
  29	1.23e+04	   206.6
  30	1.093e+04	   206.9
  31	    9624	   207.1
  32	    8418	   207.3
  33	    7328	   207.5
  34	    6363	   207.6
  35	    5526	   207.7
  36	    4811	   207.7
  37	    4211	   207.8
  38	    3716	   207.8
  39	    3315	   207.9
  40	    2991	   207.9
  41	    2756	   207.9
  42	    2514	   207.9
  43	    2320	   207.9
  44	    2072	   207.9
  45	    1790	   207.9
  46	    1541	   207.9
  47	    1391	   207.9
  48	    1249	   207.9
  49	    1128	   207.9
  50	    1007	   207.9
  51	   899.2	   207.8
  52	   802.7	   207.8
  53	   714.2	   207.8
  54	   633.9	   207.8
  55	   564.2	   207.8
  56	   505.1	   207.8
  57	   453.8	   207.8
  58	   407.2	   207.8
  59	   367.2	   207.8
  60	   330.3	   207.8
  61	   290.2	   207.8
  62	   258.4	   207.8
  63	     227	   207.8
  64	   201.9	   207.8
  65	   175.9	   207.8
  66	   156.2	   207.8
  67	   136.4	   207.8
  68	   122.3	   207.8
  69	   107.7	   207.8
  70	   94.98	   207.8
  71	   84.66	   207.8
  72	   74.88	   207.8
  73	   64.36	   207.8
  74	   55.96	   207.8
  75	   48.81	   207.8
  76	   41.27	   207.8
  77	   34.15	   207.8
  78	   28.54	   207.8
  79	   24.43	   207.8
  80	   21.15	   207.8
  81	   18.62	   207.8
  82	   16.34	   207.8
  83	   14.22	   207.8
  84	   12.57	   207.8
  85	   11.46	   207.8
  86	   10.53	   207.8
  87	   9.513	   207.8
  88	   8.638	   207.8
  89	   7.924	   207.8
  90	   7.099	   207.8
  91	   6.414	   207.8
  92	   5.564	   207.8
  93	    4.76	   207.8
  94	   4.163	   207.8
  95	   3.585	   207.8
  96	   3.156	   207.8
  97	   2.726	   207.8
  98	   2.392	   207.8
  99	   2.118	   207.8
 100	   1.883	   207.8
 101	    1.64	   207.8
 102	   1.447	   207.8
 103	   1.264	   207.8
 104	   1.118	   207.8
 105	   1.002	   207.8
 106	  0.8977	   207.8
 107	  0.8195	   207.8
 108	  0.7517	   207.8
 109	  0.6806	   207.8
 110	  0.6266	   207.8
 111	   0.562	   207.8
 112	  0.5003	   207.8
 113	  0.4478	   207.8
 114	  0.3917	   207.8
 115	  0.3367	   207.8
 116	  0.2967	   207.8
 117	  0.2535	   207.8
 118	  0.2217	   207.8
 119	   0.196	   207.8
 120	   0.168	   207.8
 121	  0.1406	   207.8
 122	  0.1247	   207.8
 123	  0.1083	   207.8
 124	 0.09536	   207.8
 125	 0.08343	   207.8
 126	  0.0728	   207.8
 127	 0.06346	   207.8
 128	 0.05679	   207.8
 129	 0.04964	   207.8
 130	 0.04495	   207.8
 131	 0.04066	   207.8
 132	 0.03663	   207.8
 133	 0.03281	   207.8
 134	 0.02901	   207.8
 135	 0.02499	   207.8
 136	 0.02211	   207.8
 137	 0.01923	   207.8
 138	 0.01652	   207.8
 139	 0.01461	   207.8
 140	 0.01265	   207.8
 141	 0.01122	   207.8
 142	0.009913	   207.8
 143	0.008542	   207.8
 144	0.007307	   207.8
 145	0.006241	   207.8
 146	0.005342	   207.8
 147	 0.00454	   207.8
 148	0.003976	   207.8
 149	0.003371	   207.8
 150	0.003078	   207.8
 151	0.002787	   207.8
 152	0.002537	   207.8
 153	0.002371	   207.8
 154	0.002213	   207.8
 155	 0.00206	   207.8
 156	0.001839	   207.8
 157	0.001714	   207.8
 158	 0.00151	   207.8
 159	0.001303	   207.8
 160	0.001092	   207.8
 161	0.0009022	   207.8
 162	0.0007566	   207.8
 163	0.000653	   207.8
 164	0.0005429	   207.8
 165	0.0004684	   207.8
 166	0.0004143	   207.8
 167	 0.00036	   207.8
 168	0.0002944	   207.8
 169	0.0002519	   207.8
 170	0.000204	   207.8
 171	0.0001699	   207.8
 172	0.0001516	   207.8
 173	0.0001375	   207.8
 174	0.0001228	   207.8
 175	0.0001121	   207.8
 176	0.0001022	   207.8
 177	9.072e-05	   207.8
 178	8.13e-05	   207.8
 179	7.175e-05	   207.8
 180	6.221e-05	   207.8
 181	5.37e-05	   207.8
 182	4.567e-05	   207.8
 183	3.942e-05	   207.8
 184	3.476e-05	   207.8
 185	3.085e-05	   207.8
 186	2.741e-05	   207.8
 187	2.415e-05	   207.8
 188	1.908e-05	   207.8
 189	1.682e-05	   207.8
 190	1.374e-05	   207.8
 191	1.215e-05	   207.8
 192	1.061e-05	   207.8
 193	9.112e-06	   207.8
 194	8.378e-06	   207.8
 195	7.439e-06	   207.8
 196	6.845e-06	   207.8
 197	6.265e-06	   207.8
 198	5.783e-06	   207.8
 199	5.17e-06	   207.8
 200	4.35e-06	   207.8
 201	3.903e-06	   207.8
 202	3.513e-06	   207.8
 203	3.063e-06	   207.8
 204	2.712e-06	   207.8
 205	2.341e-06	   207.8
 206	2.037e-06	   207.8
 207	1.808e-06	   207.8
 208	1.623e-06	   207.8
 209	1.468e-06	   207.8
 210	1.325e-06	   207.8
 211	1.202e-06	   207.8
 212	1.068e-06	   207.8
 213	9.417e-07	   207.8
 214	8.39e-07	   207.8
 215	7.457e-07	   207.8
 216	6.621e-07	   207.8
 217	5.763e-07	   207.8
 218	5.19e-07	   207.8
 219	4.59e-07	   207.8
 220	4.184e-07	   207.8
 221	3.852e-07	   207.8
 222	3.499e-07	   207.8
 223	3.195e-07	   207.8
 224	2.801e-07	   207.8
 225	2.357e-07	   207.8
 226	1.957e-07	   207.8
 227	1.577e-07	   207.8
 228	1.333e-07	   207.8
 229	1.124e-07	   207.8
 230	9.532e-08	   207.8
 231	7.77e-08	   207.8
 232	6.686e-08	   207.8
 233	5.795e-08	   207.8
 234	   5e-08	   207.8
 235	4.267e-08	   207.8
 236	3.57e-08	   207.8
 237	3.004e-08	   207.8
 238	2.642e-08	   207.8
 239	2.374e-08	   207.8
 240	2.093e-08	   207.8
 241	1.85e-08	   207.8
 242	1.589e-08	   207.8
 243	1.372e-08	   207.8
||x||_2 = 207.8
==================== TIMER SUMMARY =========================================
label               	calls     	total time	mean time	comp. intensity	 mean Gflop/s	mean Gbyte/s
----------------------------------------------
apply_preconditioning	       243	     48.07	    0.1978	      -nan	         0	         0
     apply_stencil3d	       244	     2.324	  0.009526	    0.8096	     22.81	     28.18
               axpby	       730	     2.056	  0.002817	     0.125	     17.87	     142.9
           cg_solver	         1	     58.58	     58.58	      -nan	         0	         0
                 dot	       730	    0.7715	  0.001057	     0.125	     31.75	       254
                init	         4	  0.009509	  0.002377	         0	         0	     56.46
      main_cg_solver	         1	      58.6	      58.6	      -nan	         0	         0
============================================================================
