tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
 228	  0.4356	   207.8
 229	  0.4436	   207.8
 230	  0.3822	   207.8
 231	  0.3356	   207.8
 232	  0.3222	   207.8
 233	  0.2909	   207.8
 234	  0.2771	   207.8
 235	  0.2593	   207.8
 236	  0.2265	   207.8
 237	  0.2076	   207.8
 238	  0.1841	   207.8
 239	  0.1733	   207.8
 240	  0.1565	   207.8
 241	  0.1444	   207.8
 242	  0.1303	   207.8
 243	   0.122	   207.8
 244	   0.114	   207.8
 245	  0.1093	   207.8
 246	  0.1006	   207.8
 247	 0.09333	   207.8
 248	 0.08426	   207.8
 249	 0.07839	   207.8
 250	 0.07301	   207.8
 251	 0.06758	   207.8
 252	 0.06188	   207.8
 253	 0.05527	   207.8
 254	 0.05032	   207.8
 255	 0.04614	   207.8
 256	 0.04227	   207.8
 257	 0.03849	   207.8
 258	 0.03424	   207.8
 259	 0.03057	   207.8
 260	 0.02772	   207.8
 261	 0.02528	   207.8
 262	 0.02328	   207.8
 263	 0.02132	   207.8
 264	 0.01935	   207.8
 265	 0.01778	   207.8
 266	 0.01662	   207.8
 267	 0.01559	   207.8
 268	 0.01461	   207.8
 269	 0.01372	   207.8
 270	 0.01291	   207.8
 271	  0.0123	   207.8
 272	 0.01188	   207.8
 273	 0.01149	   207.8
 274	 0.01103	   207.8
 275	 0.01056	   207.8
 276	 0.01014	   207.8
 277	0.009776	   207.8
 278	0.009424	   207.8
 279	0.009073	   207.8
 280	0.008729	   207.8
 281	0.008426	   207.8
 282	0.008187	   207.8
 283	0.008012	   207.8
 284	0.007878	   207.8
 285	0.007763	   207.8
 286	0.007662	   207.8
 287	0.007584	   207.8
 288	0.007531	   207.8
 289	0.007495	   207.8
 290	0.007464	   207.8
 291	0.007427	   207.8
 292	 0.00738	   207.8
 293	0.007323	   207.8
 294	0.007259	   207.8
 295	0.007192	   207.8
 296	0.007127	   207.8
 297	0.007066	   207.8
 298	0.007013	   207.8
 299	0.006973	   207.8
 300	0.006947	   207.8
 301	0.006931	   207.8
 302	0.006907	   207.8
 303	0.006869	   207.8
 304	0.006843	   207.8
 305	0.006829	   207.8
 306	0.006805	   207.8
 307	0.006777	   207.8
 308	0.006759	   207.8
 309	0.006736	   207.8
 310	0.006711	   207.8
 311	0.006694	   207.8
 312	0.006669	   207.8
 313	 0.00665	   207.8
 314	0.006629	   207.8
 315	0.006607	   207.8
 316	0.006588	   207.8
 317	0.006563	   207.8
 318	0.006544	   207.8
 319	0.006519	   207.8
 320	0.006499	   207.8
 321	0.006473	   207.8
 322	 0.00645	   207.8
 323	0.006421	   207.8
 324	0.006393	   207.8
 325	0.006356	   207.8
 326	0.006318	   207.8
 327	0.006267	   207.8
 328	0.006213	   207.8
 329	0.006145	   207.8
 330	0.006071	   207.8
 331	0.005989	   207.8
 332	0.005893	   207.8
 333	0.005798	   207.8
 334	0.005682	   207.8
 335	0.005568	   207.8
 336	 0.00544	   207.8
 337	0.005301	   207.8
 338	 0.00516	   207.8
 339	0.004997	   207.8
 340	0.004831	   207.8
 341	0.004651	   207.8
 342	0.004449	   207.8
 343	0.004244	   207.8
 344	0.004016	   207.8
 345	0.003766	   207.8
 346	0.003516	   207.8
 347	0.003238	   207.8
 348	0.002946	   207.8
 349	0.002668	   207.8
 350	0.002383	   207.8
 351	0.002118	   207.8
 352	0.001888	   207.8
 353	0.001675	   207.8
 354	0.001495	   207.8
 355	0.001355	   207.8
 356	0.001239	   207.8
 357	0.001149	   207.8
 358	0.001085	   207.8
 359	0.001037	   207.8
 360	   0.001	   207.8
 361	0.0009754	   207.8
 362	0.000957	   207.8
 363	0.0009415	   207.8
 364	0.0009289	   207.8
 365	0.0009192	   207.8
 366	0.0009109	   207.8
 367	0.0009036	   207.8
 368	0.0008978	   207.8
 369	0.0008932	   207.8
 370	0.0008893	   207.8
 371	0.0008859	   207.8
 372	0.0008828	   207.8
 373	0.0008798	   207.8
 374	0.0008765	   207.8
 375	0.0008726	   207.8
 376	0.0008687	   207.8
 377	0.0008655	   207.8
 378	0.0008629	   207.8
 379	0.0008601	   207.8
 380	0.0008565	   207.8
 381	0.0008527	   207.8
 382	0.0008489	   207.8
 383	0.0008443	   207.8
 384	0.000839	   207.8
 385	0.0008335	   207.8
 386	0.0008268	   207.8
 387	0.000819	   207.8
 388	0.0008103	   207.8
 389	0.0007993	   207.8
 390	0.0007862	   207.8
 391	0.0007713	   207.8
 392	0.0007548	   207.8
 393	0.0007379	   207.8
 394	0.0007189	   207.8
 395	0.0007003	   207.8
 396	0.0006815	   207.8
 397	0.0006621	   207.8
 398	0.000642	   207.8
 399	0.0006198	   207.8
 400	0.0005967	   207.8
 401	0.0005725	   207.8
 402	0.0005477	   207.8
 403	0.0005231	   207.8
 404	0.000499	   207.8
 405	0.0004757	   207.8
 406	0.0004532	   207.8
 407	0.0004304	   207.8
 408	0.000408	   207.8
 409	0.0003852	   207.8
 410	0.0003626	   207.8
 411	0.0003399	   207.8
 412	0.0003177	   207.8
 413	0.0002962	   207.8
 414	0.0002757	   207.8
 415	0.000257	   207.8
 416	0.0002405	   207.8
 417	0.0002262	   207.8
 418	0.0002145	   207.8
 419	0.0002051	   207.8
 420	0.0001978	   207.8
 421	0.0001924	   207.8
 422	0.0001884	   207.8
 423	0.0001855	   207.8
 424	0.0001833	   207.8
 425	0.0001817	   207.8
 426	0.0001804	   207.8
 427	0.0001793	   207.8
 428	0.0001783	   207.8
 429	0.0001775	   207.8
 430	0.0001767	   207.8
 431	0.0001759	   207.8
 432	0.0001751	   207.8
 433	0.0001743	   207.8
 434	0.0001735	   207.8
 435	0.0001726	   207.8
 436	0.0001717	   207.8
 437	0.0001708	   207.8
 438	0.0001697	   207.8
 439	0.0001685	   207.8
 440	0.0001671	   207.8
 441	0.0001655	   207.8
 442	0.0001635	   207.8
 443	0.0001611	   207.8
 444	0.000158	   207.8
 445	0.0001542	   207.8
 446	 0.00015	   207.8
 447	0.000146	   207.8
 448	0.0001424	   207.8
 449	0.000139	   207.8
 450	0.000135	   207.8
 451	0.0001296	   207.8
 452	0.0001236	   207.8
 453	0.0001185	   207.8
 454	0.0001143	   207.8
 455	0.0001094	   207.8
 456	0.0001036	   207.8
 457	9.837e-05	   207.8
 458	9.367e-05	   207.8
 459	8.874e-05	   207.8
 460	8.472e-05	   207.8
 461	8.162e-05	   207.8
 462	7.853e-05	   207.8
 463	7.601e-05	   207.8
 464	7.412e-05	   207.8
 465	7.227e-05	   207.8
 466	7.082e-05	   207.8
 467	6.965e-05	   207.8
 468	6.862e-05	   207.8
 469	6.787e-05	   207.8
 470	6.719e-05	   207.8
 471	6.665e-05	   207.8
 472	6.611e-05	   207.8
 473	6.559e-05	   207.8
 474	6.512e-05	   207.8
 475	6.462e-05	   207.8
 476	6.42e-05	   207.8
 477	6.373e-05	   207.8
 478	6.329e-05	   207.8
 479	6.277e-05	   207.8
 480	6.224e-05	   207.8
 481	6.161e-05	   207.8
 482	6.096e-05	   207.8
 483	6.021e-05	   207.8
 484	5.939e-05	   207.8
 485	5.838e-05	   207.8
 486	5.724e-05	   207.8
 487	5.59e-05	   207.8
 488	5.445e-05	   207.8
 489	5.272e-05	   207.8
 490	5.083e-05	   207.8
 491	4.877e-05	   207.8
 492	4.665e-05	   207.8
 493	4.463e-05	   207.8
 494	4.271e-05	   207.8
 495	4.105e-05	   207.8
 496	3.945e-05	   207.8
 497	3.81e-05	   207.8
 498	3.679e-05	   207.8
 499	3.562e-05	   207.8
 500	3.451e-05	   207.8
 501	3.341e-05	   207.8
||x||_2 = 207.8
==================== TIMER SUMMARY =========================================
label               	calls     	total time	mean time	comp. intensity	 mean Gflop/s	mean Gbyte/s
----------------------------------------------
apply_preconditioning	       501	     27.26	   0.05441	      -nan	         0	         0
     apply_stencil3d	       502	     6.281	   0.01251	    0.8096	     17.37	     21.45
               axpby	      1504	     5.357	  0.003562	     0.125	     14.13	       113
           cg_solver	         1	     51.58	     51.58	      -nan	         0	         0
                 dot	      1504	     2.516	  0.001673	     0.125	     20.06	     160.4
                init	         4	    0.0141	  0.003524	         0	         0	     38.09
      main_cg_solver	         1	      51.6	      51.6	      -nan	         0	         0
============================================================================
