tol = 1.49012e-08
   0	4.682e+09	       0
   1	1.192e+09	   2.128
   2	5.543e+08	   3.204
   3	3.384e+08	   4.088
   4	2.562e+08	   4.897
   5	3.115e+08	   5.575
   6	2.402e+08	   6.089
   7	2.21e+08	   6.842
   8	2.558e+08	   7.424
   9	2.675e+08	   8.133
  10	2.441e+08	   8.671
  11	2.547e+08	   9.506
  12	2.456e+08	    10.2
  13	2.793e+08	      11
  14	2.281e+08	   11.92
  15	2.858e+08	   12.76
  16	2.481e+08	    13.8
  17	2.524e+08	   14.76
  18	2.838e+08	   15.85
  19	2.316e+08	   16.93
  20	2.816e+08	   18.07
  21	2.44e+08	   19.25
  22	2.472e+08	   20.38
  23	2.623e+08	   21.65
  24	2.241e+08	    22.8
  25	2.535e+08	   24.06
  26	2.235e+08	   25.28
  27	2.244e+08	   26.45
  28	2.263e+08	   27.72
  29	2.015e+08	   28.85
  30	2.153e+08	   30.08
  31	1.926e+08	   31.24
  32	1.927e+08	   32.35
  33	1.877e+08	   33.54
  34	1.724e+08	   34.58
  35	1.775e+08	    35.7
  36	1.606e+08	   36.75
  37	1.607e+08	   37.75
  38	1.533e+08	   38.82
  39	1.439e+08	   39.75
  40	1.452e+08	   40.75
  41	1.323e+08	   41.69
  42	1.328e+08	   42.58
  43	1.253e+08	   43.51
  44	1.193e+08	   44.35
  45	1.192e+08	   45.22
  46	1.091e+08	   46.05
  47	1.099e+08	   46.84
  48	1.032e+08	   47.66
  49	9.895e+07	    48.4
  50	9.852e+07	   49.17
  51	9.039e+07	   49.91
  52	9.13e+07	   50.61
  53	8.562e+07	   51.33
  54	8.24e+07	   51.99
  55	8.204e+07	   52.67
  56	7.538e+07	   53.33
  57	7.622e+07	   53.95
  58	7.16e+07	   54.59
  59	6.891e+07	   55.18
  60	6.874e+07	   55.78
  61	6.321e+07	   56.37
  62	6.391e+07	   56.92
  63	6.024e+07	   57.49
  64	5.785e+07	   58.02
  65	5.786e+07	   58.56
  66	5.326e+07	   59.08
  67	5.376e+07	   59.58
  68	5.092e+07	   60.09
  69	4.873e+07	   60.56
  70	4.888e+07	   61.04
  71	4.506e+07	   61.51
  72	4.534e+07	   61.95
  73	4.319e+07	   62.41
  74	4.117e+07	   62.84
  75	4.139e+07	   63.26
  76	3.823e+07	   63.68
  77	3.831e+07	   64.08
  78	3.672e+07	   64.49
  79	3.485e+07	   64.87
  80	3.511e+07	   65.25
  81	3.251e+07	   65.63
  82	3.242e+07	   65.99
  83	3.126e+07	   66.35
  84	2.955e+07	   66.69
  85	2.979e+07	   67.04
  86	2.768e+07	   67.37
  87	2.744e+07	   67.69
  88	2.662e+07	   68.02
  89	2.507e+07	   68.33
  90	2.527e+07	   68.63
  91	2.357e+07	   68.93
  92	2.322e+07	   69.22
  93	2.265e+07	   69.51
  94	2.126e+07	   69.79
  95	2.139e+07	   70.06
  96	2.004e+07	   70.33
  97	1.961e+07	   70.58
  98	1.922e+07	   70.84
  99	1.799e+07	   71.08
 100	1.806e+07	   71.32
 101	1.698e+07	   71.56
 102	1.649e+07	   71.79
 103	1.619e+07	   72.02
 104	1.507e+07	   72.23
 105	1.492e+07	   72.44
 106	1.383e+07	   72.65
 107	1.288e+07	   72.84
 108	1.197e+07	   73.02
 109	1.02e+07	   73.18
 110	9.012e+06	   73.32
 111	7.421e+06	   73.44
 112	6.137e+06	   73.54
 113	5.294e+06	   73.63
 114	4.406e+06	    73.7
 115	3.978e+06	   73.76
 116	3.503e+06	   73.82
 117	 3.1e+06	   73.87
 118	2.882e+06	   73.91
 119	2.577e+06	   73.96
 120	2.484e+06	   73.99
 121	2.365e+06	   74.03
 122	2.239e+06	   74.07
 123	2.236e+06	    74.1
 124	2.139e+06	   74.14
 125	2.167e+06	   74.17
 126	2.167e+06	    74.2
 127	2.125e+06	   74.24
 128	2.198e+06	   74.27
 129	2.164e+06	   74.31
 130	2.208e+06	   74.34
 131	2.229e+06	   74.38
 132	2.188e+06	   74.41
 133	2.256e+06	   74.45
 134	2.199e+06	   74.49
 135	2.191e+06	   74.53
 136	2.186e+06	   74.56
 137	 2.1e+06	    74.6
 138	2.103e+06	   74.64
 139	2.003e+06	   74.67
 140	1.942e+06	   74.71
 141	1.895e+06	   74.74
 142	1.768e+06	   74.77
 143	1.725e+06	    74.8
 144	1.618e+06	   74.83
 145	1.526e+06	   74.86
 146	1.463e+06	   74.89
 147	1.345e+06	   74.92
 148	1.29e+06	   74.94
 149	1.197e+06	   74.96
 150	1.113e+06	   74.99
 151	1.062e+06	   75.01
 152	9.685e+05	   75.03
 153	9.204e+05	   75.04
 154	8.561e+05	   75.06
 155	7.909e+05	   75.08
 156	7.529e+05	   75.09
 157	6.882e+05	   75.11
 158	6.521e+05	   75.12
 159	6.081e+05	   75.13
 160	5.613e+05	   75.14
 161	5.362e+05	   75.15
 162	4.91e+05	   75.17
 163	4.642e+05	   75.18
 164	4.359e+05	   75.18
 165	4.011e+05	   75.19
 166	3.831e+05	    75.2
 167	3.524e+05	   75.21
 168	3.315e+05	   75.22
 169	3.12e+05	   75.22
 170	2.868e+05	   75.23
 171	2.732e+05	   75.23
 172	2.513e+05	   75.24
 173	2.352e+05	   75.25
 174	2.214e+05	   75.25
 175	2.025e+05	   75.26
 176	1.921e+05	   75.26
 177	1.766e+05	   75.26
 178	1.638e+05	   75.27
 179	1.54e+05	   75.27
 180	1.401e+05	   75.27
 181	1.318e+05	   75.28
 182	1.211e+05	   75.28
 183	1.113e+05	   75.28
 184	1.042e+05	   75.28
 185	9.442e+04	   75.29
 186	8.807e+04	   75.29
 187	8.078e+04	   75.29
 188	7.362e+04	   75.29
 189	6.87e+04	   75.29
 190	6.194e+04	    75.3
