tol = 1.49012e-08
 143	1.222e-08	1.222e-08	   10.95
||x||_2 = 10.95
==================== TIMER SUMMARY =========================================
label               	calls     	total time	mean time	comp. intensity	 mean Gflop/s	mean Gbyte/s
----------------------------------------------
     apply_stencil3d	       144	   0.01199	 8.326e-05	    0.7891	     4.969	     6.297
               axpby	       430	  0.005605	 1.303e-05	     0.125	     7.542	     60.34
           cg_solver	         1	   0.09563	   0.09563	         1	1.212e-318	1.212e-318
                 dot	       287	   0.00485	  1.69e-05	     0.125	     3.878	     31.03
                init	         2	 0.0001218	  6.09e-05	         0	         0	     4.305
      main_cg_solver	         1	    0.1019	    0.1019	       inf	1.137e-318	         0
============================================================================
