tol = 1.49012e-08
index = 2000376, m = 2000376
alpha =  29.6073	beta =   193518
   0	6.842e+04	       0
   1	3.085e+04	   2.354
   2	2.054e+04	   3.596
   3	1.609e+04	   4.629
   4	1.389e+04	   5.633
   5	1.279e+04	   6.698
   6	1.23e+04	   7.893
   7	1.219e+04	    9.27
   8	1.24e+04	   10.85
   9	1.302e+04	   12.62
  10	1.369e+04	    14.5
  11	1.339e+04	   16.51
  12	1.263e+04	   18.76
  13	1.219e+04	   21.19
  14	1.206e+04	   23.69
  15	1.216e+04	   26.14
  16	1.209e+04	   28.49
  17	1.147e+04	   30.79
  18	1.075e+04	   33.09
  19	1.031e+04	   35.34
  20	1.012e+04	   37.47
  21	    9965	   39.46
  22	    9522	   41.33
  23	    8940	   43.16
  24	    8527	   44.93
  25	    8322	    46.6
  26	    8174	   48.16
  27	    7853	   49.63
  28	    7424	   51.06
  29	    7101	   52.44
  30	    6930	   53.75
  31	    6800	   54.99
  32	    6548	   56.15
  33	    6222	   57.28
  34	    5974	   58.38
  35	    5836	   59.42
  36	    5718	    60.4
  37	    5508	   61.34
  38	    5252	   62.24
  39	    5061	   63.12
  40	    4949	   63.95
  41	    4839	   64.74
  42	    4658	   65.49
  43	    4453	   66.22
  44	    4303	   66.92
  45	    4210	   67.59
  46	    4105	   68.22
  47	    3946	   68.82
  48	    3779	    69.4
  49	    3660	   69.96
  50	    3577	    70.5
  51	    3475	      71
  52	    3332	   71.48
  53	    3192	   71.94
  54	    3076	   72.37
  55	    2933	   72.77
  56	    2660	   73.12
  57	    2252	    73.4
  58	    1866	    73.6
  59	    1616	   73.74
  60	    1452	   73.85
  61	    1317	   73.94
  62	    1232	   74.02
  63	    1184	   74.09
  64	    1174	   74.16
  65	    1182	   74.23
  66	    1183	   74.29
  67	    1184	   74.37
  68	    1186	   74.44
  69	    1190	   74.51
  70	    1178	   74.59
  71	    1143	   74.66
  72	    1097	   74.73
  73	    1050	   74.79
  74	    1005	   74.85
  75	   948.1	   74.91
  76	   885.3	   74.95
  77	   824.5	      75
  78	   773.1	   75.04
  79	   726.7	   75.07
  80	   677.5	    75.1
  81	   629.1	   75.13
  82	   586.5	   75.15
  83	   550.9	   75.17
  84	     518	   75.19
  85	     483	   75.21
  86	     449	   75.22
  87	   419.7	   75.23
  88	   393.8	   75.24
  89	   368.2	   75.25
  90	   341.2	   75.26
  91	   315.3	   75.27
  92	   292.8	   75.28
  93	   272.3	   75.28
  94	   251.3	   75.29
  95	   230.2	   75.29
  96	   210.9	   75.29
  97	   194.1	    75.3
  98	   178.6	    75.3
  99	   163.2	    75.3
 100	   148.4	    75.3
 101	   135.8	    75.3
 102	   125.2	   75.31
 103	   115.7	   75.31
 104	   106.6	   75.31
 105	   98.58	   75.31
 106	   92.18	   75.31
 107	   86.97	   75.31
 108	   81.55	   75.31
 109	   73.76	   75.31
 110	   61.29	   75.31
 111	    44.3	   75.31
 112	   28.11	   75.31
 113	   18.87	   75.31
 114	   19.43	   75.31
 115	      33	   75.31
 116	   48.98	   75.31
 117	   29.42	   75.31
 118	    13.2	   75.31
 119	   13.38	   75.31
 120	   23.14	   75.31
 121	   14.66	   75.31
 122	   9.878	   75.31
 123	   14.99	   75.31
 124	   9.838	   75.31
 125	   7.808	   75.31
 126	   10.18	   75.31
 127	   5.858	   75.31
 128	   7.086	   75.31
 129	   5.486	   75.31
 130	   4.729	   75.31
 131	   4.931	   75.31
 132	   3.434	   75.31
 133	   4.082	   75.31
 134	   2.701	   75.31
 135	   3.293	   75.31
 136	   2.206	   75.31
 137	   2.638	   75.31
 138	   1.843	   75.31
 139	     2.2	   75.31
 140	   1.584	   75.31
 141	   1.874	   75.31
 142	   1.397	   75.31
 143	   1.642	   75.31
 144	     1.3	   75.31
 145	   1.445	   75.31
 146	   1.243	   75.31
 147	   1.252	   75.31
 148	   1.236	   75.31
 149	   1.098	   75.31
 150	   1.206	   75.31
 151	  0.9691	   75.31
 152	    1.09	   75.31
 153	  0.8876	   75.31
 154	  0.8997	   75.31
 155	  0.8346	   75.31
 156	  0.7173	   75.31
 157	  0.7639	   75.31
 158	  0.6045	   75.31
 159	  0.6097	   75.31
 160	  0.5172	   75.31
 161	  0.4334	   75.31
 162	   0.427	   75.31
 163	  0.3233	   75.31
 164	  0.3078	   75.31
 165	   0.271	   75.31
 166	   0.235	   75.31
 167	  0.2576	   75.31
 168	  0.2268	   75.31
 169	  0.2191	   75.31
 170	  0.1975	   75.31
 171	  0.1361	   75.31
 172	  0.1166	   75.31
 173	  0.1022	   75.31
 174	 0.09786	   75.31
 175	   0.101	   75.31
 176	 0.07641	   75.31
 177	 0.06504	   75.31
 178	 0.06742	   75.31
 179	 0.05405	   75.31
 180	 0.04619	   75.31
 181	 0.04552	   75.31
 182	 0.03804	   75.31
 183	 0.03436	   75.31
 184	  0.0337	   75.31
 185	  0.0287	   75.31
 186	 0.02643	   75.31
 187	 0.02466	   75.31
 188	 0.02028	   75.31
 189	 0.01923	   75.31
 190	 0.01735	   75.31
 191	 0.01401	   75.31
 192	 0.01343	   75.31
 193	 0.01161	   75.31
 194	0.009536	   75.31
 195	0.008646	   75.31
 196	0.007485	   75.31
 197	0.006212	   75.31
 198	0.005659	   75.31
 199	0.005183	   75.31
 200	0.004231	   75.31
 201	0.003958	   75.31
 202	0.003574	   75.31
 203	0.003062	   75.31
 204	0.002816	   75.31
 205	0.002725	   75.31
 206	0.002334	   75.31
 207	0.002152	   75.31
 208	0.002027	   75.31
 209	0.001735	   75.31
 210	0.001465	   75.31
 211	0.001358	   75.31
 212	0.001127	   75.31
 213	0.0009413	   75.31
 214	0.0008553	   75.31
 215	0.0007751	   75.31
 216	0.0006649	   75.31
 217	0.0006455	   75.31
 218	0.0006397	   75.31
 219	0.000596	   75.31
 220	0.0005731	   75.31
 221	0.0005532	   75.31
 222	0.0004667	   75.31
 223	0.0003689	   75.31
 224	0.0003127	   75.31
 225	0.0002569	   75.31
 226	0.0002135	   75.31
 227	0.0001975	   75.31
 228	0.0001878	   75.31
 229	0.0001589	   75.31
 230	0.0001326	   75.31
 231	0.0001205	   75.31
 232	0.000109	   75.31
 233	9.791e-05	   75.31
 234	8.452e-05	   75.31
 235	7.114e-05	   75.31
 236	6.195e-05	   75.31
 237	5.648e-05	   75.31
 238	4.852e-05	   75.31
 239	4.048e-05	   75.31
 240	3.648e-05	   75.31
 241	3.086e-05	   75.31
 242	2.549e-05	   75.31
 243	2.295e-05	   75.31
 244	1.988e-05	   75.31
 245	1.797e-05	   75.31
 246	1.707e-05	   75.31
 247	1.464e-05	   75.31
 248	1.392e-05	   75.31
 249	1.321e-05	   75.31
 250	1.077e-05	   75.31
 251	9.917e-06	   75.31
 252	8.82e-06	   75.31
 253	7.68e-06	   75.31
 254	6.699e-06	   75.31
 255	5.466e-06	   75.31
 256	5.058e-06	   75.31
 257	4.105e-06	   75.31
 258	3.422e-06	   75.31
 259	3.028e-06	   75.31
 260	2.548e-06	   75.31
 261	2.195e-06	   75.31
 262	1.835e-06	   75.31
 263	1.716e-06	   75.31
 264	1.45e-06	   75.31
 265	1.256e-06	   75.31
 266	1.097e-06	   75.31
 267	1.006e-06	   75.31
 268	8.533e-07	   75.31
 269	 7.4e-07	   75.31
 270	6.543e-07	   75.31
 271	5.643e-07	   75.31
 272	4.553e-07	   75.31
 273	3.809e-07	   75.31
 274	3.344e-07	   75.31
 275	2.981e-07	   75.31
 276	2.663e-07	   75.31
 277	2.503e-07	   75.31
 278	2.361e-07	   75.31
 279	2.085e-07	   75.31
 280	1.767e-07	   75.31
 281	1.634e-07	   75.31
 282	1.578e-07	   75.31
 283	1.559e-07	   75.31
 284	1.47e-07	   75.31
 285	1.352e-07	   75.31
 286	1.113e-07	   75.31
 287	9.672e-08	   75.31
 288	8.656e-08	   75.31
 289	8.201e-08	   75.31
 290	6.592e-08	   75.31
 291	5.196e-08	   75.31
 292	4.399e-08	   75.31
 293	4.065e-08	   75.31
 294	3.406e-08	   75.31
 295	2.757e-08	   75.31
 296	2.48e-08	   75.31
 297	2.188e-08	   75.31
 298	1.791e-08	   75.31
 299	1.392e-08	   75.31
||x||_2 = 75.31
==================== TIMER SUMMARY =========================================
label               	calls     	total time	mean time	comp. intensity	 mean Gflop/s	mean Gbyte/s
----------------------------------------------
apply_preconditioning	       299	     1.331	  0.004451	      -nan	         0	         0
     apply_stencil3d	       300	     0.894	   0.00298	    0.8066	     9.083	     11.26
               axpby	       898	    0.5388	    0.0006	     0.125	     10.49	     83.89
           cg_solver	         1	     3.872	     3.872	      -nan	         0	         0
                 dot	       898	    0.2812	 0.0003132	     0.125	     13.39	     107.1
                init	         4	  0.003933	 0.0009832	         0	         0	     17.06
      main_cg_solver	         1	     3.877	     3.877	      -nan	         0	         0
============================================================================
