tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   2	1.843e+05	   6.456
   3	1.519e+05	   8.015
   4	1.518e+05	   9.039
   5	1.218e+05	   9.973
   6	1.301e+05	   10.77
   7	1.125e+05	   11.48
   8	1.069e+05	   12.15
   9	1.021e+05	   12.84
  10	9.496e+04	   13.45
  11	9.297e+04	   14.06
  12	9.515e+04	   14.64
  13	8.778e+04	   15.24
  14	8.955e+04	   15.81
  15	8.373e+04	   16.41
  16	8.358e+04	   16.96
  17	8.514e+04	   17.53
  18	8.77e+04	   18.08
  19	8.295e+04	   18.62
  20	8.435e+04	   19.15
  21	8.245e+04	   19.71
  22	8.223e+04	   20.25
  23	8.303e+04	   20.78
  24	8.338e+04	   21.33
  25	8.233e+04	   21.89
  26	8.117e+04	   22.44
  27	8.121e+04	   23.01
  28	8.193e+04	    23.6
  29	8.152e+04	    24.2
  30	7.996e+04	    24.8
  31	8.158e+04	   25.41
  32	8.117e+04	   26.05
  33	8.138e+04	   26.68
  34	8.127e+04	   27.32
  35	8.153e+04	   27.98
  36	8.19e+04	   28.67
  37	8.122e+04	   29.36
  38	8.094e+04	   30.06
  39	8.14e+04	   30.78
  40	8.203e+04	   31.52
  41	8.179e+04	   32.27
  42	8.159e+04	   33.03
  43	8.219e+04	   33.81
  44	8.263e+04	    34.6
  45	8.245e+04	   35.39
  46	8.26e+04	   36.19
  47	8.283e+04	   37.01
  48	8.338e+04	   37.84
  49	8.328e+04	   38.67
  50	8.299e+04	   39.52
  51	8.338e+04	   40.37
  52	8.417e+04	   41.24
  53	8.41e+04	   42.13
  54	8.353e+04	   43.03
  55	8.317e+04	   43.92
  56	8.371e+04	   44.83
  57	8.414e+04	   45.76
  58	8.423e+04	    46.7
  59	8.412e+04	   47.64
  60	8.39e+04	   48.57
  61	8.434e+04	   49.51
  62	8.418e+04	   50.47
  63	 8.4e+04	   51.43
  64	8.435e+04	    52.4
  65	8.447e+04	   53.38
  66	8.405e+04	   54.37
  67	8.354e+04	   55.35
  68	8.373e+04	   56.32
  69	8.423e+04	    57.3
  70	8.413e+04	   58.29
  71	8.379e+04	   59.27
  72	8.36e+04	   60.24
  73	8.394e+04	   61.23
  74	8.426e+04	   62.22
  75	8.381e+04	   63.22
  76	8.317e+04	   64.21
  77	8.294e+04	   65.19
  78	8.293e+04	   66.17
  79	8.295e+04	   67.16
  80	8.277e+04	   68.15
  81	8.245e+04	   69.13
  82	8.244e+04	   70.11
  83	8.239e+04	   71.09
  84	8.227e+04	   72.07
  85	8.159e+04	   73.04
  86	8.097e+04	      74
  87	8.102e+04	   74.95
  88	8.125e+04	   75.91
  89	8.111e+04	   76.86
  90	8.076e+04	   77.81
  91	8.028e+04	   78.75
  92	7.986e+04	   79.68
  93	7.997e+04	   80.61
  94	7.995e+04	   81.54
  95	7.926e+04	   82.47
  96	7.893e+04	   83.38
  97	7.912e+04	    84.3
  98	7.893e+04	   85.22
  99	7.845e+04	   86.13
 100	7.825e+04	   87.03
 101	7.785e+04	   87.93
 102	7.742e+04	   88.81
 103	7.692e+04	   89.69
 104	7.67e+04	   90.56
 105	7.635e+04	   91.42
 106	7.594e+04	   92.28
 107	7.577e+04	   93.13
 108	7.564e+04	   93.98
 109	7.541e+04	   94.82
 110	7.523e+04	   95.65
 111	7.493e+04	   96.48
 112	7.471e+04	   97.29
 113	7.432e+04	   98.11
 114	7.387e+04	   98.91
 115	7.369e+04	   99.71
 116	7.352e+04	   100.5
 117	7.318e+04	   101.3
 118	7.269e+04	   102.1
 119	7.225e+04	   102.9
 120	7.205e+04	   103.6
 121	7.238e+04	   104.4
 122	7.222e+04	   105.1
 123	7.174e+04	   105.9
 124	 7.1e+04	   106.6
 125	7.056e+04	   107.4
 126	7.054e+04	   108.1
 127	7.056e+04	   108.8
 128	7.032e+04	   109.5
 129	6.983e+04	   110.2
 130	6.927e+04	   110.9
 131	6.893e+04	   111.6
 132	6.886e+04	   112.3
 133	6.89e+04	     113
 134	6.854e+04	   113.7
 135	6.808e+04	   114.4
 136	6.773e+04	     115
 137	6.761e+04	   115.7
 138	6.744e+04	   116.3
 139	6.701e+04	     117
 140	6.653e+04	   117.6
 141	6.618e+04	   118.3
 142	6.598e+04	   118.9
 143	6.611e+04	   119.5
